arrest_key,arrest_date,pd_cd,pd_desc,ky_cd,ofns_desc,law_code,law_cat_cd,arrest_boro,arrest_precinct,jurisdiction_code,age_group,perp_sex,perp_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column
262813012,2023-02-01T00:00:00.000,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,PL 1701501,F,Q,109,0,25-44,F,WHITE,1037103,209141,40.74056238,-73.80927199,"{'type': 'Point', 'coordinates': [-73.80927199, 40.74056238]}"
265491991,2023-03-22T00:00:00.000,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 160102B,F,B,49,0,25-44,M,WHITE HISPANIC,1028978,246342,40.842714,-73.838342,"{'type': 'Point', 'coordinates': [-73.838342, 40.842714]}"
262976308,2023-02-03T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,50,0,25-44,M,BLACK,1010983,261033,40.883111,-73.90332,"{'type': 'Point', 'coordinates': [-73.90332, 40.883111]}"
262984274,2023-02-03T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,23,0,25-44,M,BLACK,998828,226859,40.789341,-73.947351,"{'type': 'Point', 'coordinates': [-73.947351, 40.789341]}"
262999434,2023-02-03T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,101,0,25-44,M,BLACK,1043061,156485,40.595998,-73.788228,"{'type': 'Point', 'coordinates': [-73.788228, 40.595998]}"
266017374,2023-04-01T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,49,0,45-64,M,BLACK,1020860,251009,40.855563,-73.867658,"{'type': 'Point', 'coordinates': [-73.867658, 40.855563]}"
263300792,2023-02-09T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,B,41,0,45-64,M,BLACK,1013037,236657,40.8162058439227,-73.8960011932583,"{'type': 'Point', 'coordinates': [-73.8960011932583, 40.8162058439227]}"
263337475,2023-02-09T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,43,0,25-44,M,BLACK,1026201,243217,40.834153,-73.8484,"{'type': 'Point', 'coordinates': [-73.8484, 40.834153]}"
263242417,2023-02-08T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303502,F,K,77,0,25-44,M,BLACK,1003509,185018,40.6744956865259,-73.9305713255961,"{'type': 'Point', 'coordinates': [-73.9305713255961, 40.6744956865259]}"
262111747,2023-01-18T00:00:00.000,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601504,F,M,5,0,18-24,M,BLACK,983903,200257,40.716337,-74.001251,"{'type': 'Point', 'coordinates': [-74.001251, 40.716337]}"
265871632,2023-03-29T00:00:00.000,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,B,44,0,18-24,F,WHITE,1003363,238988,40.822622,-73.930942,"{'type': 'Point', 'coordinates': [-73.930942, 40.822622]}"
265933796,2023-03-30T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,63,0,45-64,M,WHITE,999186,166325,40.62319,-73.946196,"{'type': 'Point', 'coordinates': [-73.946196, 40.62319]}"
266912657,2023-04-19T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,S,120,0,18-24,F,BLACK,962808,174275,40.644996,-74.077263,"{'type': 'Point', 'coordinates': [-74.077263, 40.644996]}"
266948226,2023-04-19T00:00:00.000,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,PL 1702500,F,M,6,0,25-44,M,BLACK HISPANIC,984015,205081,40.729578,-74.000844,"{'type': 'Point', 'coordinates': [-74.000844, 40.729578]}"
262715719,2023-01-30T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,106,0,25-44,M,BLACK,1028761,187046,40.67996287,-73.83952135,"{'type': 'Point', 'coordinates': [-73.83952135, 40.67996287]}"
264231165,2023-02-25T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,18-24,M,BLACK,1024373,259130,40.877836,-73.854908,"{'type': 'Point', 'coordinates': [-73.854908, 40.877836]}"
264555474,2023-03-04T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,17,0,25-44,M,BLACK,993039,215158,40.757232,-73.968273,"{'type': 'Point', 'coordinates': [-73.968273, 40.757232]}"
267054963,2023-04-21T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,Q,103,0,18-24,F,BLACK,1041879,197083,40.707439,-73.792139,"{'type': 'Point', 'coordinates': [-73.792139, 40.707439]}"
263222726,2023-02-08T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,106,0,45-64,M,BLACK,1037127,187774,40.681917,-73.80935,"{'type': 'Point', 'coordinates': [-73.80935, 40.681917]}"
264678423,2023-03-07T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K,88,0,18-24,M,BLACK,989463,190450,40.689417,-73.981201,"{'type': 'Point', 'coordinates': [-73.981201, 40.689417]}"
267907569,2023-05-08T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,S,120,0,45-64,M,BLACK,960441,171236,40.636649,-74.085784,"{'type': 'Point', 'coordinates': [-74.085784, 40.636649]}"
263631084,2023-02-15T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,7,0,45-64,F,BLACK,988848,200323,40.716517,-73.983411,"{'type': 'Point', 'coordinates': [-73.983411, 40.716517]}"
263723946,2023-02-16T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,73,2,45-64,M,BLACK,1010390,181721,40.66542,-73.905774,"{'type': 'Point', 'coordinates': [-73.905774, 40.66542]}"
265477020,2023-03-22T00:00:00.000,155,RAPE 2,104,RAPE,PL 1303001,F,B,41,0,18-24,F,BLACK HISPANIC,1013037,236657,40.8162058439227,-73.8960011932583,"{'type': 'Point', 'coordinates': [-73.8960011932583, 40.8162058439227]}"
265533832,2023-03-23T00:00:00.000,177,SEXUAL ABUSE,116,SEX CRIMES,PL 1306501,F,K,77,0,45-64,M,BLACK,1003509,185018,40.6744956865259,-73.9305713255961,"{'type': 'Point', 'coordinates': [-73.9305713255961, 40.6744956865259]}"
264163499,2023-02-24T00:00:00.000,739,"FRAUD,UNCLASSIFIED-FELONY",112,THEFT-FRAUD,PL 190651B,F,M,5,0,25-44,M,WHITE,984984,200115,40.715949,-73.997351,"{'type': 'Point', 'coordinates': [-73.997351, 40.715949]}"
264231170,2023-02-25T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303504,F,K,72,0,25-44,M,BLACK HISPANIC,984128,179058,40.6581577535544,-74.0004411548878,"{'type': 'Point', 'coordinates': [-74.0004411548878, 40.6581577535544]}"
268349199,2023-05-16T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,44,0,25-44,F,BLACK,1006537,244511,40.837774,-73.919455,"{'type': 'Point', 'coordinates': [-73.919455, 40.837774]}"
265938036,2023-03-30T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,50,0,18-24,F,BLACK,1011192,271819,40.912714,-73.902522,"{'type': 'Point', 'coordinates': [-73.902522, 40.912714]}"
264646362,2023-03-06T00:00:00.000,153,RAPE 3,104,RAPE,PL 1302503,F,K,67,0,18-24,M,BLACK,997843,175671,40.6488507469884,-73.951016510623,"{'type': 'Point', 'coordinates': [-73.951016510623, 40.6488507469884]}"
264676484,2023-03-07T00:00:00.000,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,5,0,18-24,F,BLACK,984435,202468,40.722407,-73.999333,"{'type': 'Point', 'coordinates': [-73.999333, 40.722407]}"
266493148,2023-04-11T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,25-44,M,WHITE,1003509,185018,40.6744956865259,-73.9305713255961,"{'type': 'Point', 'coordinates': [-73.9305713255961, 40.6744956865259]}"
269172992,2023-06-01T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,B,44,0,25-44,M,BLACK,1007137,245059,40.839278,-73.917283,"{'type': 'Point', 'coordinates': [-73.917283, 40.839278]}"
270226551,2023-06-22T00:00:00.000,177,SEXUAL ABUSE,116,SEX CRIMES,PL 1306503,F,K,84,0,45-64,M,WHITE,988902,192641,40.6954388081238,-73.9832253756043,"{'type': 'Point', 'coordinates': [-73.9832253756043, 40.6954388081238]}"
269151838,2023-06-01T00:00:00.000,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601502,F,K,71,0,<18,M,BLACK,998275,180907,40.663216,-73.949445,"{'type': 'Point', 'coordinates': [-73.949445, 40.663216]}"
266625879,2023-04-13T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,20,0,25-44,M,BLACK,991040,225092,40.784499,-73.97548,"{'type': 'Point', 'coordinates': [-73.97548, 40.784499]}"
270378824,2023-06-25T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,S,120,0,25-44,F,WHITE,954651,170720,40.635216,-74.106642,"{'type': 'Point', 'coordinates': [-74.106642, 40.635216]}"
265984366,2023-03-31T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,77,0,25-44,M,BLACK,1004579,183837,40.671245,-73.926713,"{'type': 'Point', 'coordinates': [-73.926713, 40.671245]}"
269715060,2023-06-12T00:00:00.000,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,Q,114,69,25-44,M,WHITE,1007694,219656,40.769552,-73.915361,"{'type': 'Point', 'coordinates': [-73.915361, 40.769552]}"
270099387,2023-06-20T00:00:00.000,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 1305500,M,M,28,0,<18,M,BLACK,997407,233806,40.8084177460021,-73.9524740603515,"{'type': 'Point', 'coordinates': [-73.9524740603515, 40.8084177460021]}"
265414751,2023-03-21T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,B,40,0,25-44,F,WHITE HISPANIC,1005028,234516,40.8103518634571,-73.924942325642,"{'type': 'Point', 'coordinates': [-73.924942325642, 40.8103518634571]}"
267176252,2023-04-24T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,43,0,25-44,M,BLACK,1020183,239282,40.823378,-73.870168,"{'type': 'Point', 'coordinates': [-73.870168, 40.823378]}"
266225005,2023-04-05T00:00:00.000,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402000,F,M,17,0,45-64,M,BLACK,992253,214996,40.756789,-73.97111,"{'type': 'Point', 'coordinates': [-73.97111, 40.756789]}"
265677527,2023-03-26T00:00:00.000,168,SODOMY 1,116,SEX CRIMES,PL 1305001,F,B,46,0,25-44,M,BLACK,1011755,250279,40.8535983673823,-73.9005768807295,"{'type': 'Point', 'coordinates': [-73.9005768807295, 40.8535983673823]}"
271184515,2023-07-12T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,K,69,0,45-64,M,BLACK,1010576,175628,40.648698,-73.905128,"{'type': 'Point', 'coordinates': [-73.905128, 40.648698]}"
266027359,2023-04-02T00:00:00.000,223,"BURGLARY,RESIDENCE,NIGHT",107,BURGLARY,PL 1402502,F,M,25,0,18-24,F,BLACK,1001511,234333,40.80985,-73.937644,"{'type': 'Point', 'coordinates': [-73.937644, 40.80985]}"
270568968,2023-06-29T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,70,0,25-44,F,BLACK,991626,169071,40.630736,-73.973423,"{'type': 'Point', 'coordinates': [-73.973423, 40.630736]}"
267777296,2023-05-05T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,75,0,25-44,M,BLACK,1016912,176974,40.65236915,-73.88229012,"{'type': 'Point', 'coordinates': [-73.88229012, 40.65236915]}"
267944339,2023-05-09T00:00:00.000,153,RAPE 3,104,RAPE,PL 1302502,F,K,77,0,25-44,M,BLACK,1003509,185018,40.6744956865259,-73.9305713255961,"{'type': 'Point', 'coordinates': [-73.9305713255961, 40.6744956865259]}"
263859507,2023-02-18T00:00:00.000,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,PL 1702500,F,K,67,0,25-44,M,BLACK,1004898,172809,40.640974,-73.925597,"{'type': 'Point', 'coordinates': [-73.925597, 40.640974]}"
265277497,2023-03-17T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K,75,0,18-24,M,BLACK,1013286,186124,40.67749648,-73.89531836,"{'type': 'Point', 'coordinates': [-73.89531836, 40.67749648]}"
268057112,2023-05-10T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,25-44,M,BLACK,1003509,185018,40.6744956865259,-73.9305713255961,"{'type': 'Point', 'coordinates': [-73.9305713255961, 40.6744956865259]}"
268270980,2023-05-15T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,109,0,25-44,M,WHITE,1032084,216954,40.762037,-73.827328,"{'type': 'Point', 'coordinates': [-73.827328, 40.762037]}"
266703913,2023-04-15T00:00:00.000,464,JOSTLING,230,JOSTLING,PL 1652501,M,M,9,0,18-24,M,BLACK,987717,203259,40.72457498,-73.98749182,"{'type': 'Point', 'coordinates': [-73.98749182, 40.72457498]}"
269513974,2023-06-08T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,79,0,25-44,M,BLACK,999507,190206,40.688736,-73.944984,"{'type': 'Point', 'coordinates': [-73.944984, 40.688736]}"
272986442,2023-08-16T00:00:00.000,168,SODOMY 1,116,SEX CRIMES,PL 1305001,F,K,71,0,25-44,M,BLACK,998742,181235,40.664121282631,-73.9477648403751,"{'type': 'Point', 'coordinates': [-73.9477648403751, 40.664121282631]}"
269894547,2023-06-15T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,101,0,25-44,M,BLACK,1056643,156502,40.595945,-73.739323,"{'type': 'Point', 'coordinates': [-73.739323, 40.595945]}"
267981632,2023-05-09T00:00:00.000,153,RAPE 3,104,RAPE,PL 1302502,F,M,5,0,18-24,M,BLACK,984990,200136,40.7160120119955,-73.9973320301008,"{'type': 'Point', 'coordinates': [-73.9973320301008, 40.7160120119955]}"
268106654,2023-05-11T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,Q,112,0,45-64,M,BLACK,1025401,202586,40.7226409964758,-73.8515418216779,"{'type': 'Point', 'coordinates': [-73.8515418216779, 40.7226409964758]}"
270204319,2023-06-21T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,K,75,0,25-44,M,BLACK,1017036,183890,40.6713598203364,-73.8818110231735,"{'type': 'Point', 'coordinates': [-73.8818110231735, 40.6713598203364]}"
270261774,2023-06-22T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,19,0,25-44,M,WHITE,994296,218679,40.766896,-73.96373,"{'type': 'Point', 'coordinates': [-73.96373, 40.766896]}"
270006885,2023-06-18T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,Q,113,0,25-44,U,BLACK,1046399,187126,40.680077,-73.775929,"{'type': 'Point', 'coordinates': [-73.775929, 40.680077]}"
270450595,2023-06-27T00:00:00.000,261,ARSON 1,114,ARSON,PL 1502001,F,K,77,71,25-44,M,BLACK,1003508,185056,40.674593,-73.930572,"{'type': 'Point', 'coordinates': [-73.930572, 40.674593]}"
270267976,2023-06-22T00:00:00.000,261,ARSON 1,114,ARSON,PL 1502001,F,Q,115,0,25-44,M,WHITE,1017696,213763,40.753346,-73.87928,"{'type': 'Point', 'coordinates': [-73.87928, 40.753346]}"
268637912,2023-05-22T00:00:00.000,153,RAPE 3,104,RAPE,PL 1302502,F,Q,112,0,25-44,M,WHITE,1025401,202586,40.7226409964758,-73.8515418216779,"{'type': 'Point', 'coordinates': [-73.8515418216779, 40.7226409964758]}"
275520466,2023-10-06T00:00:00.000,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,K,69,71,45-64,M,BLACK,1013534,172683,40.640605,-73.89448,"{'type': 'Point', 'coordinates': [-73.89448, 40.640605]}"
275757264,2023-10-11T00:00:00.000,263,"ARSON 2,3,4",114,ARSON,PL 1501001,F,K,69,0,18-24,M,BLACK,1010576,175628,40.648698,-73.905128,"{'type': 'Point', 'coordinates': [-73.905128, 40.648698]}"
272424077,2023-08-05T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,81,0,45-64,M,BLACK,1005312,190540,40.68964,-73.924051,"{'type': 'Point', 'coordinates': [-73.924051, 40.68964]}"
273040816,2023-08-17T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,25-44,M,BLACK,1003509,185018,40.6744956865259,-73.9305713255961,"{'type': 'Point', 'coordinates': [-73.9305713255961, 40.6744956865259]}"
273117918,2023-08-18T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,25,0,25-44,M,BLACK,1000482,230365,40.798962,-73.941373,"{'type': 'Point', 'coordinates': [-73.941373, 40.798962]}"
270605215,2023-06-30T00:00:00.000,464,JOSTLING,230,JOSTLING,PL 1652501,M,M,5,1,65+,M,BLACK,983125,199091,40.71313543861811,-74.0040580580704,"{'type': 'Point', 'coordinates': [-74.0040580580704, 40.71313543861811]}"
277691707,2023-11-17T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,114,0,25-44,M,WHITE,1007694,219656,40.769552,-73.915361,"{'type': 'Point', 'coordinates': [-73.915361, 40.769552]}"
274372011,2023-09-13T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,S,121,0,18-24,M,BLACK,942827,166373,40.623238,-74.149217,"{'type': 'Point', 'coordinates': [-74.149217, 40.623238]}"
275232861,2023-10-01T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,B,47,0,25-44,M,WHITE,1026480,262584,40.8873136344706,-73.8472717577564,"{'type': 'Point', 'coordinates': [-73.8472717577564, 40.8873136344706]}"
272998594,2023-08-16T00:00:00.000,263,"ARSON 2,3,4",114,ARSON,PL 1500501,F,B,40,71,45-64,F,WHITE HISPANIC,1007580,238971,40.822567,-73.915706,"{'type': 'Point', 'coordinates': [-73.915706, 40.822567]}"
273587780,2023-08-29T00:00:00.000,153,RAPE 3,104,RAPE,PL 1302503,F,Q,112,0,18-24,M,WHITE,1025401,202586,40.7226409964758,-73.8515418216779,"{'type': 'Point', 'coordinates': [-73.8515418216779, 40.7226409964758]}"
274541581,2023-09-16T00:00:00.000,176,SEX CRIMES,116,SEX CRIMES,PL 1309600,F,M,5,0,65+,M,WHITE,984990,200136,40.7160120119955,-73.9973320301008,"{'type': 'Point', 'coordinates': [-73.9973320301008, 40.7160120119955]}"
277775177,2023-11-19T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,B,48,0,25-44,M,BLACK,1011751,246839,40.8441566000203,-73.9006054489734,"{'type': 'Point', 'coordinates': [-73.9006054489734, 40.8441566000203]}"
277935811,2023-11-22T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303501,F,Q,101,0,25-44,M,BLACK,1053639,158980,40.6027762300781,-73.7501173648331,"{'type': 'Point', 'coordinates': [-73.7501173648331, 40.6027762300781]}"
278226073,2023-11-29T00:00:00.000,263,"ARSON 2,3,4",114,ARSON,PL 1501001,F,B,47,71,45-64,M,BLACK,1027325,262875,40.888101,-73.84421,"{'type': 'Point', 'coordinates': [-73.84421, 40.888101]}"
275451095,2023-10-05T00:00:00.000,186,LURING A CHILD,124,KIDNAPPING,PL 12070C1,F,B,46,0,18-24,M,BLACK,1009100,247458,40.845855,-73.910181,"{'type': 'Point', 'coordinates': [-73.910181, 40.845855]}"
278934767,2023-12-13T00:00:00.000,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,K,77,71,45-64,M,BLACK,1003508,185056,40.674593,-73.930572,"{'type': 'Point', 'coordinates': [-73.930572, 40.674593]}"
279447627,2023-12-23T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,M,19,0,25-44,M,BLACK,996792,222661,40.777821,-73.954714,"{'type': 'Point', 'coordinates': [-73.954714, 40.777821]}"
276800457,2023-11-01T00:00:00.000,157,RAPE 1,104,RAPE,PL 1303502,F,Q,112,0,25-44,M,WHITE HISPANIC,1025401,202586,40.7226409964758,-73.8515418216779,"{'type': 'Point', 'coordinates': [-73.8515418216779, 40.7226409964758]}"
278333672,2023-12-01T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,S,123,0,25-44,M,WHITE,914928,125756,40.511577,-74.249302,"{'type': 'Point', 'coordinates': [-74.249302, 40.511577]}"
263988345,2023-02-21T00:00:00.000,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,Q,102,0,25-44,M,WHITE HISPANIC,1031076,193778,40.69843,-73.831128,"{'type': 'Point', 'coordinates': [-73.831128, 40.69843]}"
261667175,2023-01-10T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,42,0,18-24,F,WHITE HISPANIC,1008754,238895,40.822355,-73.911463,"{'type': 'Point', 'coordinates': [-73.911463, 40.822355]}"
263188340,2023-02-07T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,30,0,45-64,M,WHITE HISPANIC,997963,240371,40.8264277,-73.95045075,"{'type': 'Point', 'coordinates': [-73.95045075, 40.8264277]}"
261404003,2023-01-05T00:00:00.000,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1600500,F,S,120,0,25-44,F,WHITE,962309,165151,40.619953,-74.079032,"{'type': 'Point', 'coordinates': [-74.079032, 40.619953]}"
